--Move Updates--
Made Swords Dance have 20 PP
Made Vine Whip have 45 power and 25 PP
Made Pin Missile have 25 power and 95% accuracy
Made Flamethrower have 90 power
Made Hydro Pump have 110 power
Made Surf have 90 power
Made Ice Beam have 90 power
Made Blizzard have 110 power
Made Growth have 20 PP
Made Thunderbolt have 90 power
Made Thunder have 110 power
Made Minimize have 10 PP
Made Barrier have 20 PP
Made Lick have 30 power
Made Smog have 30 power
Made Fire Blast have 110 power
Made Skull Bash have 130 power and 10 PP
Made Glare have 100% accuracy
Made Poison Gas have 90% accuracy
Made Bubble have 40 power
Made Psywave have 100% accuracy
Made Acid Armor have 20 PP
Made Crabhammer have 100 power
Made Thief have 60 power and 25 PP
Made Snore have 50 power
Made Fury Cutter have 40 power
Made Future Sight have 120 power
Made Heat Wave have 95 power
Made Will-O-Wisp have 85% accuracy
Made SmellingSalt have 70 power
Made Knock Off have 65 power
Made Meteor Mash have 90 power and 90% accuracy
Made Air Cutter have 60 power
Made Overheat have 130 power
Made Rock Tomb have 60 power, 15 PP and 95% accuracy
Made Extrasensory have 20 PP
Made Muddy Water have 90 power
Made Covet have 25 PP
Made Wake-Up Slap have 70 power
Made Tailwind have 15 PP
Made Assurance have 60 power
Made Psycho Shift have 100% accuracy
Made Aura Sphere have 80 power
Made Air Slash have 15 PP
Made Dragon Pulse have 85 power
Made Power Gem have 80 power
Made Energy Ball have 90 power
Made Draco Meteor have 130 power
Made Leaf Storm have 130 power
Made Gunk Shot have 80% accuracy
Made Chatter have 65 power
Made Magma Storm have 100 power
Made Storm Throw have 60 power
Made Synchronoise have 120 power
Made Low Sweep have 65 power
Made Hex have 65 power
Made Incinerate have 60 power
Made Water Pledge have 80 power
Made Fire Pledge have 80 power
Made Grass Pledge have 80 power
Made Struggle Bug have 50 power
Made Frost Breath have 45 power
Made Sacred Sword have 15 PP
Made Hurricane have 110 power
Made Techno Blast have 120 power

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
 25|Pikachu   |ELECTRIC         |  35|  55|  40|  90|  50|  50|Thick Fat   |Flower Gift |Tinted Lens |Power Weight (common), Mental Herb (rare), Heart Scale (dark grass only)
 26|Raichu    |ELECTRIC         |  60|  90|  55| 110|  90|  80|Thick Fat   |Flower Gift |Tinted Lens |Energy Root (common), Guard Spec. (rare), Repeat Ball (dark grass only)
 27|Sandshrew |GROUND           |  50|  75|  85|  40|  20|  30|Illuminate  |Steadfast   |Guts        |
 28|Sandslash |GROUND           |  75| 100| 110|  65|  45|  55|Illuminate  |Steadfast   |Guts        |Relic Gold (common)
 29|Nidoran♀  |POISON           |  55|  47|  52|  41|  40|  40|Quick Feet  |--          |Inner Focus |Rare Bone (common)
 30|Nidorina  |POISON           |  70|  62|  67|  56|  55|  55|Quick Feet  |--          |Inner Focus |Dark Gem (100%)
 31|Nidoqueen |POISON/GROUND    |  90|  92|  87|  76|  75|  85|Quick Feet  |--          |Inner Focus |
 32|Nidoran♂  |POISON           |  46|  57|  40|  50|  40|  40|Damp        |Minus       |Download    |Dive Ball (rare), Float Stone (dark grass only)
 33|Nidorino  |POISON           |  61|  72|  57|  65|  55|  55|Damp        |Minus       |Download    |Old Amber (rare)
 34|Nidoking  |POISON/GROUND    |  81| 102|  77|  85|  85|  75|Damp        |Minus       |Download    |Soul Dew (rare), Magmarizer (dark grass only)
 35|Clefairy  |NORMAL           |  70|  45|  48|  35|  60|  65|Stench      |--          |Steadfast   |
 36|Clefable  |NORMAL           |  95|  70|  73|  60|  95|  90|Stench      |--          |Steadfast   |Sharp Beak (common), Mental Herb (rare), Power Belt (dark grass only)
 37|Vulpix    |FIRE             |  38|  41|  40|  65|  50|  65|Natural Cure|Illuminate  |Battle Armor|Nest Ball (100%)
 38|Ninetales |FIRE             |  73|  76|  75| 100|  81| 100|Natural Cure|Illuminate  |Battle Armor|Poké Doll (100%)
 39|Jigglypuff|NORMAL           | 115|  45|  20|  20|  45|  25|Storm Drain |Effect Spore|Flame Body  |Electric Gem (dark grass only)
 40|Wigglytuff|NORMAL           | 140|  70|  45|  45|  85|  50|Storm Drain |Effect Spore|Flame Body  |
 41|Zubat     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|Unaware     |--          |No Guard    |SilverPowder (common), Green Shard (rare), Safari Ball (dark grass only)
 42|Golbat    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|Unaware     |--          |No Guard    |Nugget (common), Power Herb (dark grass only)
 43|Oddish    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|Minus       |--          |Keen Eye    |Smooth Rock (dark grass only)
 44|Gloom     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|Minus       |--          |Keen Eye    |Leaf Stone (dark grass only)
 45|Vileplume |GRASS/POISON     |  75|  80|  85|  50| 110|  90|Tangled Feet|--          |Solar Power |Health Wing (100%)
 46|Paras     |BUG/GRASS        |  35|  70|  55|  25|  45|  55|Magnet Pull |--          |Minus       |Shell Bell (common), Big Mushroom (dark grass only)
 47|Parasect  |BUG/GRASS        |  60|  95|  80|  30|  60|  80|Magnet Pull |--          |Minus       |
 48|Venonat   |BUG/POISON       |  60|  55|  50|  45|  40|  55|Color Change|--          |Rough Skin  |Meadow Plate (dark grass only)
 49|Venomoth  |BUG/POISON       |  70|  65|  60|  90|  90|  75|Color Change|--          |Rough Skin  |Soda Pop (rare)
 50|Diglett   |GROUND           |  10|  55|  25|  95|  35|  45|Hyper Cutter|Anger Point |Flower Gift |Insect Plate (dark grass only)
 51|Dugtrio   |GROUND           |  35|  80|  50| 120|  50|  70|Hyper Cutter|Anger Point |Flower Gift |Max Ether (dark grass only)
 52|Meowth    |NORMAL           |  40|  45|  35|  90|  40|  40|Flame Body  |--          |Lightningrod|
 53|Persian   |NORMAL           |  65|  70|  60| 115|  65|  65|Flame Body  |--          |Lightningrod|Old Gateau (common), Zoom Lens (rare)
 54|Psyduck   |WATER            |  50|  52|  48|  55|  65|  50|Steadfast   |Static      |Limber      |
 55|Golduck   |WATER            |  80|  82|  78|  85|  95|  80|Steadfast   |Static      |Limber      |BrightPowder (100%)
 56|Mankey    |FIGHTING         |  40|  80|  35|  70|  35|  45|Battle Armor|Heatproof   |Hydration   |
 57|Primeape  |FIGHTING         |  65| 105|  60|  95|  60|  70|Battle Armor|Heatproof   |Hydration   |Shell Bell (common), Rocky Helmet (rare)
 58|Growlithe |FIRE             |  55|  70|  45|  60|  70|  50|Motor Drive |Shell Armor |Flame Body  |Lax Incense (dark grass only)
 59|Arcanine  |FIRE             |  90| 110|  80|  95| 100|  80|Motor Drive |Shell Armor |Flame Body  |Icicle Plate (dark grass only)
 60|Poliwag   |WATER            |  40|  50|  40|  90|  40|  40|Ice Body    |Inner Focus |Speed Boost |Big Nugget (dark grass only)
 61|Poliwhirl |WATER            |  65|  65|  65|  90|  50|  50|Ice Body    |Inner Focus |Speed Boost |PP Up (rare), Leftovers (dark grass only)
 62|Poliwrath |WATER/FIGHTING   |  90|  95|  95|  70|  70|  90|Stall       |Hyper Cutter|Immunity    |Ultra Ball (dark grass only)
 63|Abra      |PSYCHIC          |  25|  20|  15|  90| 105|  55|Oblivious   |--          |Pressure    |Eject Button (common), Wise Glasses (rare), HP Up (dark grass only)
 64|Kadabra   |PSYCHIC          |  40|  35|  30| 105| 120|  70|Oblivious   |--          |Pressure    |Max Elixir (dark grass only)
 65|Alakazam  |PSYCHIC          |  55|  50|  45| 120| 135|  95|Oblivious   |--          |Pressure    |Net Ball (rare), Sun Stone (dark grass only)
 66|Machop    |FIGHTING         |  70|  80|  50|  35|  35|  35|Snow Cloak  |--          |Trace       |Dark Gem (common), Icicle Plate (rare), Amulet Coin (dark grass only)
 67|Machoke   |FIGHTING         |  80| 100|  70|  45|  50|  60|Snow Cloak  |--          |Trace       |Grass Gem (dark grass only)
 68|Machamp   |FIGHTING         |  90| 130|  80|  55|  65|  85|Snow Cloak  |--          |Trace       |
 69|Bellsprout|GRASS/POISON     |  50|  75|  35|  40|  70|  30|Stall       |Soundproof  |Synchronize |Luxury Ball (common)
 70|Weepinbell|GRASS/POISON     |  65|  90|  50|  55|  85|  45|Stall       |Soundproof  |Synchronize |Repeat Ball (dark grass only)
 71|Victreebel|GRASS/POISON     |  80| 105|  65|  70| 100|  70|Stall       |Soundproof  |Synchronize |Water Gem (rare)
 72|Tentacool |WATER/POISON     |  40|  40|  35|  70|  50| 100|Rock Head   |Cute Charm  |Immunity    |PP Up (dark grass only)
 73|Tentacruel|WATER/POISON     |  80|  70|  65| 100|  80| 120|Rock Head   |Cute Charm  |Immunity    |Lax Incense (dark grass only)
 74|Geodude   |ROCK/GROUND      |  40|  80| 100|  20|  30|  30|Leaf Guard  |--          |Water Absorb|Max Potion (common), SilverPowder (rare), Choice Band (dark grass only)
 75|Graveler  |ROCK/GROUND      |  55|  95| 115|  35|  45|  45|Leaf Guard  |--          |Water Absorb|Master Ball (common), Draco Plate (dark grass only)
 76|Golem     |ROCK/GROUND      |  80| 120| 130|  45|  55|  65|Leaf Guard  |--          |Water Absorb|
 77|Ponyta    |FIRE             |  50|  85|  55|  90|  65|  65|Natural Cure|--          |Solar Power |Relic Statue (common), Pretty Wing (rare), Relic Gold (dark grass only)
 78|Rapidash  |FIRE             |  65| 100|  70| 105|  80|  80|Natural Cure|--          |Solar Power |
 79|Slowpoke  |WATER/PSYCHIC    |  90|  65|  65|  15|  40|  40|Super Luck  |--          |Hustle      |Honey (dark grass only)
 80|Slowbro   |WATER/PSYCHIC    |  95|  75| 110|  30| 100|  80|Static      |--          |Pickup      |Dragon Gem (100%)
 81|Magnemite |ELECTRIC/STEEL   |  25|  35|  70|  45|  95|  55|Oblivious   |--          |White Smoke |Rock Incense (common), Repel (rare), Zap Plate (dark grass only)
 82|Magneton  |ELECTRIC/STEEL   |  50|  60|  95|  70| 120|  70|Oblivious   |--          |White Smoke |Bug Gem (common), Relic Copper (rare)
 83|Farfetch'd|NORMAL/FLYING    |  52|  65|  55|  60|  58|  62|Oblivious   |Filter      |Honey Gather|Muscle Wing (dark grass only)
 84|Doduo     |NORMAL/FLYING    |  35|  85|  45|  75|  35|  35|Super Luck  |Torrent     |Synchronize |Skull Fossil (rare)
 85|Dodrio    |NORMAL/FLYING    |  60| 110|  70| 100|  60|  60|Super Luck  |Torrent     |Synchronize |Spell Tag (common), Oval Stone (rare)
 86|Seel      |WATER            |  65|  45|  55|  45|  45|  70|Static      |Stench      |Shed Skin   |Poké Doll (rare), Electirizer (dark grass only)
 87|Dewgong   |WATER/ICE        |  90|  70|  80|  70|  70|  95|Static      |Stench      |Shed Skin   |Health Wing (dark grass only)
 88|Grimer    |POISON           |  80|  80|  50|  25|  40|  50|Poison Point|--          |Swarm       |Lemonade (common), Soda Pop (dark grass only)
 89|Muk       |POISON           | 105| 105|  75|  50|  65| 100|Poison Point|--          |Swarm       |Sticky Barb (rare)
 90|Shellder  |WATER            |  30|  65| 100|  40|  45|  25|Flash Fire  |Cloud Nine  |Rock Head   |Power Lens (rare)
 91|Cloyster  |WATER/ICE        |  50|  95| 180|  70|  85|  45|Flash Fire  |Cloud Nine  |Rock Head   |Stardust (common), Focus Sash (dark grass only)
 92|Gastly    |GHOST/POISON     |  30|  35|  30|  80| 100|  35|Pure Power  |--          |Sturdy      |Flame Plate (dark grass only)
 93|Haunter   |GHOST/POISON     |  45|  50|  45|  95| 115|  55|Pure Power  |--          |Sturdy      |Great Ball (dark grass only)
 94|Gengar    |GHOST/POISON     |  60|  65|  60| 110| 130|  75|Pure Power  |--          |Sturdy      |Focus Sash (common)
 95|Onix      |ROCK/GROUND      |  35|  45| 160|  70|  30|  45|Cute Charm  |Pickup      |Own Tempo   |Soda Pop (rare)
 96|Drowzee   |PSYCHIC          |  60|  48|  45|  42|  43|  90|Snow Warning|Blaze       |Serene Grace|Safari Ball (common)
 97|Hypno     |PSYCHIC          |  85|  73|  70|  67|  73| 115|Snow Warning|Blaze       |Serene Grace|Super Repel (common), Awakening (rare)
 98|Krabby    |WATER            |  30| 105|  90|  50|  25|  25|Normalize   |--          |Illuminate  |Exp. Share (dark grass only)
 99|Kingler   |WATER            |  55| 130| 115|  75|  50|  50|Normalize   |--          |Illuminate  |Flying Gem (dark grass only)
100|Voltorb   |ELECTRIC         |  40|  30|  50| 100|  55|  55|Drizzle     |Scrappy     |Arena Trap  |
101|Electrode |ELECTRIC         |  60|  50|  70| 140|  80|  80|Drizzle     |Scrappy     |Arena Trap  |Blue Shard (dark grass only)
102|Exeggcute |GRASS/PSYCHIC    |  60|  40|  80|  40|  60|  45|Tinted Lens |Damp        |Immunity    |Leaf Stone (common), Smoke Ball (rare), Big Nugget (dark grass only)
103|Exeggutor |GRASS/PSYCHIC    |  95|  95|  85|  55| 125|  65|Tinted Lens |Damp        |Immunity    |
104|Cubone    |GROUND           |  50|  50|  95|  35|  40|  50|Pickup      |--          |Snow Warning|Wise Glasses (common)
105|Marowak   |GROUND           |  60|  80| 110|  45|  50|  80|Pickup      |--          |Snow Warning|Cherish Ball (rare)
106|Hitmonlee |FIGHTING         |  50| 120|  53|  87|  35| 110|Scrappy     |Plus        |Rivalry     |Protector (common)
107|Hitmonchan|FIGHTING         |  50| 105|  79|  76|  35| 110|Steadfast   |--          |Volt Absorb |Poké Ball (dark grass only)
108|Lickitung |NORMAL           |  90|  55|  75|  30|  60|  75|Water Veil  |Hydration   |Guts        |
109|Koffing   |POISON           |  40|  65|  95|  35|  60|  45|Air Lock    |--          |Super Luck  |
110|Weezing   |POISON           |  65|  90| 120|  60|  85|  70|Air Lock    |--          |Super Luck  |Max Ether (common)
111|Rhyhorn   |GROUND/ROCK      |  80|  85|  95|  25|  30|  30|Shell Armor |--          |Iron Fist   |Pearl (dark grass only)
112|Rhydon    |GROUND/ROCK      | 105| 130| 120|  40|  45|  45|Shell Armor |--          |Iron Fist   |PP Up (common), Hyper Potion (rare)
113|Chansey   |NORMAL           | 250|   5|   5|  50|  35| 105|Water Absorb|--          |Drizzle     |Cover Fossil (common)
114|Tangela   |GRASS            |  65|  55| 115|  60| 100|  40|Honey Gather|Flash Fire  |Suction Cups|Zoom Lens (dark grass only)
115|Kangaskhan|NORMAL           | 105|  95|  80|  90|  40|  80|Pickup      |Sniper      |Static      |Fighting Gem (rare), HP Up (dark grass only)
116|Horsea    |WATER            |  30|  40|  70|  60|  70|  25|Anger Point |Tangled Feet|Shield Dust |
117|Seadra    |WATER            |  55|  65|  95|  85|  95|  45|Anger Point |Tangled Feet|Shield Dust |Protein (common), Shed Shell (rare)
118|Goldeen   |WATER            |  45|  67|  60|  63|  35|  50|Air Lock    |Frisk       |Iron Fist   |Escape Rope (common), Parlyz Heal (dark grass only)
119|Seaking   |WATER            |  80|  92|  65|  68|  65|  80|Air Lock    |Frisk       |Iron Fist   |
120|Staryu    |WATER            |  30|  45|  55|  85|  70|  55|Cute Charm  |--          |Soundproof  |
121|Starmie   |WATER/PSYCHIC    |  60|  75|  85| 115| 100|  85|Cute Charm  |--          |Soundproof  |Metronome (rare)
122|Mr. Mime  |PSYCHIC          |  40|  45|  65|  90| 100| 120|Quick Feet  |--          |Keen Eye    |
123|Scyther   |BUG/FLYING       |  70| 110|  80| 105|  55|  80|Solid Rock  |--          |Hyper Cutter|Smooth Rock (100%)
124|Jynx      |ICE/PSYCHIC      |  65|  50|  35|  95| 115|  95|Drought     |--          |No Guard    |Honey (100%)
125|Electabuzz|ELECTRIC         |  65|  83|  57| 105|  95|  85|Ice Body    |Synchronize |Levitate    |
126|Magmar    |FIRE             |  65|  95|  57|  93| 100|  85|Trace       |--          |Keen Eye    |Leppa Berry (rare), Revival Herb (dark grass only)
127|Pinsir    |BUG              |  65| 125| 100|  85|  55|  70|Compoundeyes|--          |Klutz       |Razor Fang (rare), Revival Herb (dark grass only)
128|Tauros    |NORMAL           |  75| 100|  95| 110|  40|  70|Pickup      |--          |Vital Spirit|Green Shard (100%)
129|Magikarp  |WATER            |  20|  10|  55|  80|  15|  20|Tinted Lens |--          |Sand Stream |Sea Incense (dark grass only)
130|Gyarados  |WATER/FLYING     |  95| 125|  79|  81|  60| 100|Tinted Lens |--          |Sand Stream |Heal Ball (common), Miracle Seed (dark grass only)
131|Lapras    |WATER/ICE        | 130|  85|  80|  60|  85|  95|Snow Warning|Swift Swim  |Steadfast   |Resist Wing (rare)
132|Ditto     |NORMAL           |  48|  48|  48|  48|  48|  48|Natural Cure|--          |Leaf Guard  |
133|Eevee     |NORMAL           |  55|  55|  50|  55|  45|  65|Soundproof  |--          |Hydration   |King's Rock (dark grass only)
134|Vaporeon  |WATER            | 130|  65|  60|  65| 110|  95|Sand Veil   |--          |White Smoke |Clever Wing (rare), Big Nugget (dark grass only)
135|Jolteon   |ELECTRIC         |  65|  65|  60| 130| 110|  95|Magma Armor |Keen Eye    |Trace       |Ground Gem (rare)
136|Flareon   |FIRE             |  65| 130|  60|  65|  95| 110|Adaptability|--          |Flower Gift |Clever Wing (common), Magmarizer (rare)
137|Porygon   |NORMAL           |  65|  60|  70|  40|  85|  75|Inner Focus |Steadfast   |Intimidate  |Black Flute (common), Muscle Band (dark grass only)
138|Omanyte   |ROCK/WATER       |  35|  40| 100|  35|  90|  55|No Guard    |--          |Speed Boost |White Herb (dark grass only)
139|Omastar   |ROCK/WATER       |  70|  60| 125|  55| 115|  70|No Guard    |--          |Speed Boost |
140|Kabuto    |ROCK/WATER       |  30|  80|  90|  55|  55|  45|Magic Guard |Dry Skin    |Volt Absorb |Berry Juice (dark grass only)
141|Kabutops  |ROCK/WATER       |  60| 115| 105|  80|  65|  70|Magic Guard |Dry Skin    |Volt Absorb |Power Weight (common), Rose Incense (rare)
142|Aerodactyl|ROCK/FLYING      |  80| 105|  65| 130|  60|  75|Natural Cure|--          |Rivalry     |Cell Battery (rare)
143|Snorlax   |NORMAL           | 160| 110|  65|  30|  65| 110|Water Veil  |Stall       |Water Absorb|Max Ether (100%)
144|Articuno  |ICE/FLYING       |  90|  85| 100|  85|  95| 125|Thick Fat   |--          |Marvel Scale|Toxic Orb (dark grass only)
145|Zapdos    |ELECTRIC/FLYING  |  90|  90|  85| 100| 125|  90|Stench      |Magnet Pull |Effect Spore|Magnet (rare), Cleanse Tag (dark grass only)
146|Moltres   |FIRE/FLYING      |  90| 100|  90|  90| 125|  85|Sturdy      |--          |Flash Fire  |Draco Plate (common), Splash Plate (rare)
147|Dratini   |DRAGON           |  41|  64|  45|  50|  50|  50|Immunity    |Sticky Hold |Forecast    |
148|Dragonair |DRAGON           |  61|  84|  65|  70|  70|  70|Immunity    |Sticky Hold |Forecast    |Luxury Ball (dark grass only)
149|Dragonite |DRAGON/FLYING    |  91| 134|  95|  80| 100| 100|Immunity    |Sticky Hold |Forecast    |Insect Plate (rare)
150|Mewtwo    |PSYCHIC          | 106| 110|  90| 130| 154|  90|Unburden    |--          |Anger Point |Power Bracer (100%)
151|Mew       |PSYCHIC          | 100| 100| 100| 100| 100| 100|Swarm       |Motor Drive |White Smoke |Plume Fossil (100%)
152|Chikorita |GRASS            |  45|  49|  65|  45|  49|  65|Keen Eye    |--          |Drought     |Zoom Lens (100%)
153|Bayleef   |GRASS            |  60|  62|  80|  60|  63|  80|Keen Eye    |--          |Drought     |Aspear Berry (rare)
154|Meganium  |GRASS            |  80|  82| 100|  80|  83| 100|Keen Eye    |--          |Drought     |Nest Ball (100%)
155|Cyndaquil |FIRE             |  39|  52|  43|  65|  60|  50|Snow Cloak  |--          |Cloud Nine  |HP Up (rare)
156|Quilava   |FIRE             |  58|  64|  58|  80|  80|  65|Snow Cloak  |--          |Cloud Nine  |
157|Typhlosion|FIRE             |  78|  84|  78| 100| 109|  85|Snow Cloak  |--          |Cloud Nine  |Shoal Shell (dark grass only)
158|Totodile  |WATER            |  50|  65|  64|  43|  44|  48|Damp        |Chlorophyll |Air Lock    |Repeat Ball (rare)
159|Croconaw  |WATER            |  65|  80|  80|  58|  59|  63|Damp        |Chlorophyll |Air Lock    |Absorb Bulb (100%)
160|Feraligatr|WATER            |  85| 105| 100|  78|  79|  83|Damp        |Chlorophyll |Air Lock    |Reaper Cloth (rare)
161|Sentret   |NORMAL           |  35|  46|  34|  20|  35|  45|Marvel Scale|--          |Rain Dish   |Guard Spec. (dark grass only)
162|Furret    |NORMAL           |  85|  76|  64|  90|  45|  55|Marvel Scale|--          |Rain Dish   |
163|Hoothoot  |NORMAL/FLYING    |  60|  30|  30|  50|  36|  56|Cloud Nine  |Own Tempo   |Drizzle     |King's Rock (common), Timer Ball (rare), Guard Spec. (dark grass only)
164|Noctowl   |NORMAL/FLYING    | 100|  50|  50|  70|  76|  96|Cloud Nine  |Own Tempo   |Drizzle     |Dawn Stone (rare), Oval Stone (dark grass only)
165|Ledyba    |BUG/FLYING       |  40|  20|  30|  55|  40|  80|Steadfast   |--          |Vital Spirit|Escape Rope (common), Master Ball (rare)
166|Ledian    |BUG/FLYING       |  55|  35|  50|  85|  55| 110|Steadfast   |--          |Vital Spirit|Water Gem (rare), Iron (dark grass only)
167|Spinarak  |BUG/POISON       |  40|  60|  40|  30|  40|  40|Snow Cloak  |Water Absorb|Hyper Cutter|Carbos (dark grass only)
168|Ariados   |BUG/POISON       |  70|  90|  70|  40|  60|  60|Snow Cloak  |Water Absorb|Hyper Cutter|Nest Ball (common)
169|Crobat    |POISON/FLYING    |  85|  90|  80| 130|  70|  80|Unaware     |--          |No Guard    |Pearl (dark grass only)
170|Chinchou  |WATER/ELECTRIC   |  75|  38|  38|  67|  56|  56|Soundproof  |Motor Drive |Rock Head   |Great Ball (dark grass only)
171|Lanturn   |WATER/ELECTRIC   | 125|  58|  58|  67|  76|  76|Soundproof  |Motor Drive |Rock Head   |Sitrus Berry (rare), Flying Gem (dark grass only)
172|Pichu     |ELECTRIC         |  20|  40|  15|  60|  35|  35|Thick Fat   |Flower Gift |Tinted Lens |Max Repel (dark grass only)
173|Cleffa    |NORMAL           |  50|  25|  28|  15|  45|  55|Stench      |--          |Steadfast   |Revive (common), Choice Band (rare), Lum Berry (dark grass only)
174|Igglybuff |NORMAL           |  90|  30|  15|  15|  40|  20|Storm Drain |Effect Spore|Flame Body  |
175|Togepi    |NORMAL           |  35|  20|  65|  20|  40|  65|Air Lock    |--          |Drought     |Berry Juice (100%)
